headline,label,category,explanation_tokens
AI Department Introduces Updated Guidelines,0,none,
Scientists Discover New Method to Improve Kerala,0,none,
These Health Facts Will Shock You!,1,shock_value,Water|Kerala
Study Shows Increase in Engineers Over Last Decade,0,none,
Research Announces New Policy for 2025,0,none,
This One AI Mistake Could Ruin Everything!,1,curiosity_gap,Finance|Technology
People Are Freaking Out About This Engineers Discovery!,1,misleading_number,Technology|Environment
How This Research Girl Became Famous Overnight!,1,curiosity_gap,Environment|Technology
People Are Freaking Out About This Students Discovery!,1,shock_value,Technology|AI
10 AI Secrets the Experts Don’t Want You to Know!,1,exaggeration,Startup|Students
These Education Facts Will Shock You!,1,shock_value,Education|Mobile
Doctors Hate This Simple Engineers Trick!,1,shock_value,Finance|Environment
Kerala Department Introduces Updated Guidelines,0,none,
You Won't Believe What Happened When Water Tried This!,1,curiosity_gap,AI|Kerala
Survey Reveals Trends in AI for 2024,0,none,
Experts Discuss Challenges in Engineers Sector,0,none,
Finance Launches Initiative to Support Research Development,0,none,
She Did Education and You Won’t Guess What Happened Next!,1,misleading_number,Water|Students
Scientists Discover New Method to Improve Environment,0,none,
Top 10 Environment Ideas That Are Blowing Up the Internet!,1,exaggeration,Finance|Technology
Environment Announces New Policy for 2025,0,none,
Doctors Hate This Simple Students Trick!,1,shock_value,AI|Environment
Kerala Department Introduces Updated Guidelines,0,none,
These Finance Facts Will Shock You!,1,curiosity_gap,Health|Environment
Finance Department Introduces Updated Guidelines,0,none,
10 Engineers Secrets the Experts Don’t Want You to Know!,1,misleading_number,Technology|Finance
This One Engineers Mistake Could Ruin Everything!,1,shock_value,Technology|Mobile
Experts Discuss Challenges in Research Sector,0,none,
How This Education Girl Became Famous Overnight!,1,shock_value,Startup|Technology
Researchers Find Correlation Between Research and Education,0,none,
Government Releases Report on Education,0,none,
Experts Discuss Challenges in Students Sector,0,none,
Survey Reveals Trends in Engineers for 2024,0,none,
Researchers Find Correlation Between Education and AI,0,none,
Kerala Announces New Policy for 2025,0,none,
Survey Reveals Trends in Education for 2024,0,none,
Top 10 Engineers Ideas That Are Blowing Up the Internet!,1,misleading_number,AI|Finance
Kerala Department Introduces Updated Guidelines,0,none,
Doctors Hate This Simple Environment Trick!,1,curiosity_gap,Mobile|Kerala
She Did Technology and You Won’t Guess What Happened Next!,1,curiosity_gap,Technology|Mobile
This One Kerala Mistake Could Ruin Everything!,1,curiosity_gap,Research|Health
People Are Freaking Out About This Research Discovery!,1,curiosity_gap,Environment|Students
She Did Technology and You Won’t Guess What Happened Next!,1,shock_value,Technology|Finance
Scientists Discover New Method to Improve Environment,0,none,
This One Research Mistake Could Ruin Everything!,1,shock_value,Mobile|Students
10 Research Secrets the Experts Don’t Want You to Know!,1,exaggeration,Environment|Kerala
This One Mobile Mistake Could Ruin Everything!,1,emotional,Health|Education
This One Mobile Mistake Could Ruin Everything!,1,misleading_number,AI|Technology
Study Shows Increase in Water Over Last Decade,0,none,
Students Launches Initiative to Support Water Development,0,none,
How This Education Girl Became Famous Overnight!,1,emotional,Startup|Students
Environment Announces New Policy for 2025,0,none,
You Won't Believe What Happened When Water Tried This!,1,shock_value,Engineers|Water
Government Releases Report on Education,0,none,
Researchers Find Correlation Between Kerala and Kerala,0,none,
Doctors Hate This Simple Engineers Trick!,1,exaggeration,Water|Mobile
Top 10 Health Ideas That Are Blowing Up the Internet!,1,misleading_number,Water|Engineers
These Students Facts Will Shock You!,1,misleading_number,Technology|Research
Students Department Introduces Updated Guidelines,0,none,
Scientists Discover New Method to Improve Mobile,0,none,
Survey Reveals Trends in Research for 2024,0,none,
Study Shows Increase in AI Over Last Decade,0,none,
Scientists Discover New Method to Improve Water,0,none,
Top 10 Mobile Ideas That Are Blowing Up the Internet!,1,exaggeration,Startup|Students
This One Research Mistake Could Ruin Everything!,1,shock_value,Finance|Research
How This AI Girl Became Famous Overnight!,1,shock_value,Startup|Water
Doctors Hate This Simple Health Trick!,1,shock_value,Engineers|Startup
People Are Freaking Out About This Engineers Discovery!,1,misleading_number,Water|Students
Experts Discuss Challenges in AI Sector,0,none,
People Are Freaking Out About This Water Discovery!,1,exaggeration,AI|Startup
Top 10 Kerala Ideas That Are Blowing Up the Internet!,1,misleading_number,Finance|Kerala
Survey Reveals Trends in Health for 2024,0,none,
Researchers Find Correlation Between Research and Mobile,0,none,
Students Department Introduces Updated Guidelines,0,none,
Kerala Department Introduces Updated Guidelines,0,none,
Finance Department Introduces Updated Guidelines,0,none,
Doctors Hate This Simple Environment Trick!,1,misleading_number,Students|Engineers
Environment Department Introduces Updated Guidelines,0,none,
People Are Freaking Out About This Technology Discovery!,1,shock_value,Students|Startup
Study Shows Increase in Research Over Last Decade,0,none,
Doctors Hate This Simple Water Trick!,1,misleading_number,Health|Startup
You Won't Believe What Happened When Engineers Tried This!,1,exaggeration,Environment|Research
Study Shows Increase in Startup Over Last Decade,0,none,
Survey Reveals Trends in Finance for 2024,0,none,
Study Shows Increase in Mobile Over Last Decade,0,none,
Top 10 Students Ideas That Are Blowing Up the Internet!,1,misleading_number,Technology|Water
Education Launches Initiative to Support Startup Development,0,none,
She Did Startup and You Won’t Guess What Happened Next!,1,exaggeration,Research|Engineers
Technology Announces New Policy for 2025,0,none,
Researchers Find Correlation Between Environment and Education,0,none,
She Did AI and You Won’t Guess What Happened Next!,1,misleading_number,Water|Research
Study Shows Increase in Finance Over Last Decade,0,none,
Education Launches Initiative to Support Engineers Development,0,none,
Top 10 Research Ideas That Are Blowing Up the Internet!,1,emotional,Education|Environment
Engineers Department Introduces Updated Guidelines,0,none,
These AI Facts Will Shock You!,1,misleading_number,Students|Technology
Technology Department Introduces Updated Guidelines,0,none,
People Are Freaking Out About This Education Discovery!,1,misleading_number,Technology|Startup
Survey Reveals Trends in AI for 2024,0,none,
Environment Department Introduces Updated Guidelines,0,none,
How This Finance Girl Became Famous Overnight!,1,emotional,Students|AI
Scientists Discover New Method to Improve Finance,0,none,
Doctors Hate This Simple Education Trick!,1,misleading_number,Kerala|Education
Survey Reveals Trends in Students for 2024,0,none,
You Won't Believe What Happened When Students Tried This!,1,exaggeration,Technology|Engineers
You Won't Believe What Happened When Health Tried This!,1,emotional,Kerala|Education
People Are Freaking Out About This Research Discovery!,1,emotional,Startup|Health
Survey Reveals Trends in Finance for 2024,0,none,
These Startup Facts Will Shock You!,1,misleading_number,Education|Engineers
Doctors Hate This Simple Kerala Trick!,1,exaggeration,AI|Environment
These Research Facts Will Shock You!,1,exaggeration,Startup|Engineers
You Won't Believe What Happened When Students Tried This!,1,exaggeration,Water|Research
Startup Launches Initiative to Support Environment Development,0,none,
New Technology Aims to Improve Engineers Efficiency,0,none,
Doctors Hate This Simple Kerala Trick!,1,exaggeration,Engineers|Research
Doctors Hate This Simple Education Trick!,1,misleading_number,AI|Environment
Doctors Hate This Simple Students Trick!,1,shock_value,Technology|Students
You Won't Believe What Happened When Kerala Tried This!,1,emotional,Education|Water
People Are Freaking Out About This Students Discovery!,1,shock_value,Environment|Students
Top 10 Students Ideas That Are Blowing Up the Internet!,1,shock_value,Finance|Startup
You Won't Believe What Happened When Health Tried This!,1,curiosity_gap,Environment|Water
Technology Launches Initiative to Support Health Development,0,none,
Scientists Discover New Method to Improve Mobile,0,none,
Survey Reveals Trends in Finance for 2024,0,none,
Doctors Hate This Simple Finance Trick!,1,emotional,Environment|Finance
People Are Freaking Out About This AI Discovery!,1,emotional,Education|Kerala
Study Shows Increase in Engineers Over Last Decade,0,none,
Government Releases Report on Technology,0,none,
New Technology Aims to Improve Kerala Efficiency,0,none,
You Won't Believe What Happened When Technology Tried This!,1,shock_value,Environment|Health
Researchers Find Correlation Between Water and Environment,0,none,
She Did Finance and You Won’t Guess What Happened Next!,1,shock_value,Students|Mobile
How This AI Girl Became Famous Overnight!,1,exaggeration,Students|Health
Top 10 Finance Ideas That Are Blowing Up the Internet!,1,shock_value,Water|Education
People Are Freaking Out About This Finance Discovery!,1,curiosity_gap,AI|Water
Study Shows Increase in Startup Over Last Decade,0,none,
Survey Reveals Trends in Health for 2024,0,none,
10 Technology Secrets the Experts Don’t Want You to Know!,1,misleading_number,Health|Kerala
Health Announces New Policy for 2025,0,none,
These Mobile Facts Will Shock You!,1,exaggeration,Technology|Finance
10 Finance Secrets the Experts Don’t Want You to Know!,1,emotional,Technology|Startup
10 Water Secrets the Experts Don’t Want You to Know!,1,shock_value,Technology|Health
Environment Announces New Policy for 2025,0,none,
She Did Technology and You Won’t Guess What Happened Next!,1,exaggeration,Technology|Mobile
AI Announces New Policy for 2025,0,none,
You Won't Believe What Happened When Technology Tried This!,1,exaggeration,Research|AI
This One Engineers Mistake Could Ruin Everything!,1,exaggeration,Education|Finance
Mobile Announces New Policy for 2025,0,none,
10 Startup Secrets the Experts Don’t Want You to Know!,1,misleading_number,Education|Students
Government Releases Report on Kerala,0,none,
New Technology Aims to Improve Mobile Efficiency,0,none,
Survey Reveals Trends in Technology for 2024,0,none,
This One Education Mistake Could Ruin Everything!,1,misleading_number,Water|Technology
10 Environment Secrets the Experts Don’t Want You to Know!,1,shock_value,AI|Environment
These Environment Facts Will Shock You!,1,misleading_number,Engineers|Kerala
Finance Launches Initiative to Support Startup Development,0,none,
This AI Hack Will Change Your Life Forever!,1,shock_value,Technology|Startup
People Are Freaking Out About This Finance Discovery!,1,curiosity_gap,Finance|Students
10 Mobile Secrets the Experts Don’t Want You to Know!,1,emotional,AI|Finance
Government Releases Report on Technology,0,none,
Survey Reveals Trends in Mobile for 2024,0,none,
Survey Reveals Trends in Environment for 2024,0,none,
Experts Discuss Challenges in Startup Sector,0,none,
These Mobile Facts Will Shock You!,1,exaggeration,Startup|Water
Top 10 Students Ideas That Are Blowing Up the Internet!,1,shock_value,Education|Students
You Won't Believe What Happened When Kerala Tried This!,1,shock_value,Technology|Students
Study Shows Increase in Students Over Last Decade,0,none,
You Won't Believe What Happened When Mobile Tried This!,1,emotional,Engineers|Health
These Education Facts Will Shock You!,1,curiosity_gap,Engineers|Startup
You Won't Believe What Happened When Health Tried This!,1,exaggeration,Technology|Education
Scientists Discover New Method to Improve Startup,0,none,
These Engineers Facts Will Shock You!,1,shock_value,Education|Research
How This Engineers Girl Became Famous Overnight!,1,curiosity_gap,Students|Mobile
People Are Freaking Out About This Water Discovery!,1,emotional,Kerala|AI
Researchers Find Correlation Between Engineers and Environment,0,none,
Survey Reveals Trends in Health for 2024,0,none,
These Students Facts Will Shock You!,1,misleading_number,Finance|Research
Survey Reveals Trends in Technology for 2024,0,none,
Engineers Department Introduces Updated Guidelines,0,none,
Education Announces New Policy for 2025,0,none,
Finance Announces New Policy for 2025,0,none,
Government Releases Report on Startup,0,none,
Students Announces New Policy for 2025,0,none,
Water Department Introduces Updated Guidelines,0,none,
You Won't Believe What Happened When Finance Tried This!,1,curiosity_gap,Mobile|Health
You Won't Believe What Happened When Students Tried This!,1,emotional,Water|Environment
How This Technology Girl Became Famous Overnight!,1,curiosity_gap,Technology|Health
People Are Freaking Out About This Health Discovery!,1,shock_value,Environment|Health
Scientists Discover New Method to Improve Environment,0,none,
People Are Freaking Out About This Health Discovery!,1,exaggeration,Environment|Research
10 Engineers Secrets the Experts Don’t Want You to Know!,1,misleading_number,Engineers|Research
Top 10 Finance Ideas That Are Blowing Up the Internet!,1,exaggeration,Technology|Water
Doctors Hate This Simple Research Trick!,1,misleading_number,Technology|Students
Experts Discuss Challenges in Environment Sector,0,none,
New Technology Aims to Improve Technology Efficiency,0,none,
New Technology Aims to Improve Environment Efficiency,0,none,
She Did AI and You Won’t Guess What Happened Next!,1,emotional,Mobile|Kerala
You Won't Believe What Happened When Research Tried This!,1,emotional,Kerala|Environment
Education Announces New Policy for 2025,0,none,
This One Students Mistake Could Ruin Everything!,1,shock_value,Environment|AI
Research Announces New Policy for 2025,0,none,
Top 10 Kerala Ideas That Are Blowing Up the Internet!,1,exaggeration,Mobile|Startup
Study Shows Increase in Education Over Last Decade,0,none,
Research Announces New Policy for 2025,0,none,
How This AI Girl Became Famous Overnight!,1,curiosity_gap,Water|Mobile
This One Engineers Mistake Could Ruin Everything!,1,curiosity_gap,Environment|Water
Researchers Find Correlation Between Kerala and Environment,0,none,
Mobile Department Introduces Updated Guidelines,0,none,
Study Shows Increase in Research Over Last Decade,0,none,
Students Launches Initiative to Support Research Development,0,none,
Doctors Hate This Simple Startup Trick!,1,emotional,Kerala|Finance
Top 10 Environment Ideas That Are Blowing Up the Internet!,1,exaggeration,Startup|Education
These Mobile Facts Will Shock You!,1,exaggeration,Mobile|Water
She Did Health and You Won’t Guess What Happened Next!,1,emotional,Engineers|AI
10 Technology Secrets the Experts Don’t Want You to Know!,1,emotional,Health|Education
These Research Facts Will Shock You!,1,exaggeration,Students|Health
Researchers Find Correlation Between Mobile and Mobile,0,none,
Water Department Introduces Updated Guidelines,0,none,
This One Health Mistake Could Ruin Everything!,1,misleading_number,Startup|AI
New Technology Aims to Improve Finance Efficiency,0,none,
This One Students Mistake Could Ruin Everything!,1,emotional,Technology|AI
How This Water Girl Became Famous Overnight!,1,emotional,Mobile|Engineers
Government Releases Report on Technology,0,none,
This Technology Hack Will Change Your Life Forever!,1,exaggeration,Students|Finance
Doctors Hate This Simple Students Trick!,1,misleading_number,Startup|Technology
This Finance Hack Will Change Your Life Forever!,1,curiosity_gap,Environment|AI
She Did Environment and You Won’t Guess What Happened Next!,1,curiosity_gap,Water|Research
How This Environment Girl Became Famous Overnight!,1,curiosity_gap,Kerala|Education
10 AI Secrets the Experts Don’t Want You to Know!,1,exaggeration,Health|Startup
Top 10 Technology Ideas That Are Blowing Up the Internet!,1,curiosity_gap,Water|Startup
She Did Mobile and You Won’t Guess What Happened Next!,1,emotional,Kerala|Education
Scientists Discover New Method to Improve Technology,0,none,
People Are Freaking Out About This Environment Discovery!,1,curiosity_gap,Engineers|Water
People Are Freaking Out About This Engineers Discovery!,1,shock_value,Engineers|Research
You Won't Believe What Happened When Mobile Tried This!,1,exaggeration,Kerala|Water
This One Finance Mistake Could Ruin Everything!,1,curiosity_gap,Health|Research
Education Announces New Policy for 2025,0,none,
You Won't Believe What Happened When Health Tried This!,1,shock_value,Education|Water
10 Environment Secrets the Experts Don’t Want You to Know!,1,emotional,Technology|Health
Kerala Announces New Policy for 2025,0,none,
How This Technology Girl Became Famous Overnight!,1,misleading_number,Mobile|Research
New Technology Aims to Improve Finance Efficiency,0,none,
People Are Freaking Out About This Health Discovery!,1,shock_value,Water|Health
These Health Facts Will Shock You!,1,exaggeration,Research|Kerala
These Water Facts Will Shock You!,1,misleading_number,Startup|Environment
Researchers Find Correlation Between Kerala and AI,0,none,
How This Engineers Girl Became Famous Overnight!,1,shock_value,Health|Startup
These Water Facts Will Shock You!,1,misleading_number,Water|Technology
Scientists Discover New Method to Improve Environment,0,none,
Experts Discuss Challenges in Education Sector,0,none,
Doctors Hate This Simple Education Trick!,1,exaggeration,Startup|Health
She Did Students and You Won’t Guess What Happened Next!,1,emotional,Finance|AI
Education Department Introduces Updated Guidelines,0,none,
You Won't Believe What Happened When AI Tried This!,1,emotional,Education|Environment
Doctors Hate This Simple Finance Trick!,1,exaggeration,Education|Engineers
Mobile Department Introduces Updated Guidelines,0,none,
Engineers Launches Initiative to Support Students Development,0,none,
She Did Water and You Won’t Guess What Happened Next!,1,curiosity_gap,Students|Environment
Startup Department Introduces Updated Guidelines,0,none,
Scientists Discover New Method to Improve Kerala,0,none,
You Won't Believe What Happened When Students Tried This!,1,exaggeration,Water|Kerala
This Technology Hack Will Change Your Life Forever!,1,misleading_number,Mobile|Startup
Survey Reveals Trends in Technology for 2024,0,none,
Doctors Hate This Simple Technology Trick!,1,shock_value,AI|Mobile
Education Launches Initiative to Support Education Development,0,none,
This Engineers Hack Will Change Your Life Forever!,1,misleading_number,Students|Health
This Students Hack Will Change Your Life Forever!,1,misleading_number,Research|Mobile
This One AI Mistake Could Ruin Everything!,1,exaggeration,Mobile|Kerala
Survey Reveals Trends in Engineers for 2024,0,none,
AI Launches Initiative to Support Students Development,0,none,
She Did AI and You Won’t Guess What Happened Next!,1,curiosity_gap,Education|Finance
How This Water Girl Became Famous Overnight!,1,exaggeration,Technology|Startup
Water Department Introduces Updated Guidelines,0,none,
Study Shows Increase in AI Over Last Decade,0,none,
Study Shows Increase in Startup Over Last Decade,0,none,
Study Shows Increase in Engineers Over Last Decade,0,none,
Study Shows Increase in Technology Over Last Decade,0,none,
These Finance Facts Will Shock You!,1,emotional,Research|AI
This Environment Hack Will Change Your Life Forever!,1,shock_value,Education|Research
Researchers Find Correlation Between Education and Finance,0,none,
Government Releases Report on Education,0,none,
Mobile Launches Initiative to Support Kerala Development,0,none,
Water Launches Initiative to Support Research Development,0,none,
These Technology Facts Will Shock You!,1,misleading_number,AI|Kerala
Environment Announces New Policy for 2025,0,none,
Survey Reveals Trends in Education for 2024,0,none,
Technology Department Introduces Updated Guidelines,0,none,
Scientists Discover New Method to Improve Water,0,none,
Kerala Announces New Policy for 2025,0,none,
Top 10 Students Ideas That Are Blowing Up the Internet!,1,shock_value,Research|Kerala
You Won't Believe What Happened When AI Tried This!,1,shock_value,Health|Water
Study Shows Increase in Mobile Over Last Decade,0,none,
People Are Freaking Out About This Students Discovery!,1,shock_value,Kerala|Health
Water Launches Initiative to Support Finance Development,0,none,
You Won't Believe What Happened When Environment Tried This!,1,curiosity_gap,AI|Water
How This Mobile Girl Became Famous Overnight!,1,shock_value,Environment|Finance
Top 10 Startup Ideas That Are Blowing Up the Internet!,1,curiosity_gap,Students|Mobile
How This Finance Girl Became Famous Overnight!,1,exaggeration,Water|Research
AI Announces New Policy for 2025,0,none,
She Did Health and You Won’t Guess What Happened Next!,1,exaggeration,Students|AI
Doctors Hate This Simple Education Trick!,1,curiosity_gap,Mobile|Research
She Did Technology and You Won’t Guess What Happened Next!,1,exaggeration,Environment|Mobile
10 AI Secrets the Experts Don’t Want You to Know!,1,exaggeration,Engineers|Students
10 Education Secrets the Experts Don’t Want You to Know!,1,emotional,Environment|Research
10 Education Secrets the Experts Don’t Want You to Know!,1,emotional,Students|Technology
Doctors Hate This Simple Students Trick!,1,emotional,Water|Mobile
She Did Water and You Won’t Guess What Happened Next!,1,exaggeration,Finance|Health
This One Mobile Mistake Could Ruin Everything!,1,emotional,Research|Health
Study Shows Increase in Mobile Over Last Decade,0,none,
Researchers Find Correlation Between Environment and Startup,0,none,
This One Water Mistake Could Ruin Everything!,1,emotional,Mobile|Kerala
Researchers Find Correlation Between Finance and Mobile,0,none,
Study Shows Increase in Mobile Over Last Decade,0,none,
Government Releases Report on Startup,0,none,
Researchers Find Correlation Between Startup and Environment,0,none,
Water Department Introduces Updated Guidelines,0,none,
Survey Reveals Trends in AI for 2024,0,none,
People Are Freaking Out About This Environment Discovery!,1,curiosity_gap,Mobile|Finance
Researchers Find Correlation Between Kerala and Startup,0,none,
Study Shows Increase in Mobile Over Last Decade,0,none,
Technology Announces New Policy for 2025,0,none,
Government Releases Report on Kerala,0,none,
Doctors Hate This Simple Engineers Trick!,1,curiosity_gap,Finance|Mobile
10 Environment Secrets the Experts Don’t Want You to Know!,1,shock_value,Technology|Kerala
This Education Hack Will Change Your Life Forever!,1,shock_value,Mobile|Health
Government Releases Report on Students,0,none,
Engineers Launches Initiative to Support Students Development,0,none,
Researchers Find Correlation Between Water and Water,0,none,
How This Water Girl Became Famous Overnight!,1,emotional,Finance|Technology
This Finance Hack Will Change Your Life Forever!,1,misleading_number,Engineers|Students
This Startup Hack Will Change Your Life Forever!,1,misleading_number,AI|Technology
People Are Freaking Out About This Finance Discovery!,1,shock_value,Students|Mobile
Mobile Announces New Policy for 2025,0,none,
Researchers Find Correlation Between Environment and Mobile,0,none,
She Did Students and You Won’t Guess What Happened Next!,1,exaggeration,Mobile|Water
Top 10 Finance Ideas That Are Blowing Up the Internet!,1,misleading_number,Technology|Kerala
Doctors Hate This Simple Health Trick!,1,exaggeration,Kerala|Education
You Won't Believe What Happened When Finance Tried This!,1,exaggeration,Research|Finance
Researchers Find Correlation Between Health and AI,0,none,
People Are Freaking Out About This Research Discovery!,1,misleading_number,Finance|AI
These AI Facts Will Shock You!,1,exaggeration,Education|Engineers
